	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	gi	file_name	Sample	bg in mM	[Buffer] in mM	Monovalent Ion	Concentration	Concentration Unit	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm
204	13	0.1 mM CaCl2	260.0	90.0	21.0	1	Cooling	205	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
205	14	0.1 mM CaCl2	260.0	21.0	90.0	1	Heating	206	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
206	15	0.1 mM CaCl2	260.0	90.0	21.0	2	Cooling	207	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
207	16	0.1 mM CaCl2	260.0	21.0	90.0	2	Heating	208	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
208	17	10 mM CaCl2	400.0	90.0	21.0	1	Cooling	209	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
209	18	10 mM CaCl2	400.0	21.0	90.0	1	Heating	210	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
210	19	10 mM CaCl2	400.0	90.0	21.0	2	Cooling	211	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
211	20	10 mM CaCl2	400.0	21.0	90.0	2	Heating	212	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
212	21	5 mM CaCl2	400.0	90.0	21.0	1	Cooling	213	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
213	22	5 mM CaCl2	400.0	21.0	90.0	1	Heating	214	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
214	23	5 mM CaCl2	400.0	90.0	21.0	2	Cooling	215	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
215	24	5 mM CaCl2	400.0	21.0	90.0	2	Heating	216	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
216	25	1 mM CaCl2	400.0	90.0	21.0	1	Cooling	217	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
217	26	1 mM CaCl2	400.0	21.0	90.0	1	Heating	218	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
218	27	1 mM CaCl2	400.0	90.0	21.0	2	Cooling	219	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
219	28	1 mM CaCl2	400.0	21.0	90.0	2	Heating	220	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
220	29	0.1 mM CaCl2	400.0	90.0	21.0	1	Cooling	221	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
221	30	0.1 mM CaCl2	400.0	21.0	90.0	1	Heating	222	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
222	31	0.1 mM CaCl2	400.0	90.0	21.0	2	Cooling	223	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
223	32	0.1 mM CaCl2	400.0	21.0	90.0	2	Heating	224	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
224	1	50 mM CaCl2	260.0	90.0	21.0	1	Cooling	225	2023-08-23_RNA_melting_2_VS.csv																							
225	2	50 mM CaCl2	260.0	21.0	90.0	1	Heating	226	2023-08-23_RNA_melting_2_VS.csv																							
226	3	50 mM CaCl2	260.0	90.0	21.0	2	Cooling	227	2023-08-23_RNA_melting_2_VS.csv																							
227	4	50 mM CaCl2	260.0	21.0	90.0	2	Heating	228	2023-08-23_RNA_melting_2_VS.csv																							
228	5	25 mM CaCl2	260.0	90.0	21.0	1	Cooling	229	2023-08-23_RNA_melting_2_VS.csv																							
229	6	25 mM CaCl2	260.0	21.0	90.0	1	Heating	230	2023-08-23_RNA_melting_2_VS.csv																							
230	7	25 mM CaCl2	260.0	90.0	21.0	2	Cooling	231	2023-08-23_RNA_melting_2_VS.csv																							
231	8	25 mM CaCl2	260.0	21.0	90.0	2	Heating	232	2023-08-23_RNA_melting_2_VS.csv																							
232	9	50 mM MgCl2	260.0	90.0	21.0	1	Cooling	233	2023-08-23_RNA_melting_2_VS.csv																							
233	10	50 mM MgCl2	260.0	21.0	90.0	1	Heating	234	2023-08-23_RNA_melting_2_VS.csv																							
234	11	50 mM MgCl2	260.0	90.0	21.0	2	Cooling	235	2023-08-23_RNA_melting_2_VS.csv																							
235	12	50 mM MgCl2	260.0	21.0	90.0	2	Heating	236	2023-08-23_RNA_melting_2_VS.csv																							
236	13	25 mM MgCl2	260.0	90.0	21.0	1	Cooling	237	2023-08-23_RNA_melting_2_VS.csv																							
237	14	25 mM MgCl2	260.0	21.0	90.0	1	Heating	238	2023-08-23_RNA_melting_2_VS.csv																							
238	15	25 mM MgCl2	260.0	90.0	21.0	2	Cooling	239	2023-08-23_RNA_melting_2_VS.csv																							
239	16	25 mM MgCl2	260.0	21.0	90.0	2	Heating	240	2023-08-23_RNA_melting_2_VS.csv																							
240	17	50 mM CaCl2	400.0	90.0	21.0	1	Cooling	241	2023-08-23_RNA_melting_2_VS.csv																							
241	18	50 mM CaCl2	400.0	21.0	90.0	1	Heating	242	2023-08-23_RNA_melting_2_VS.csv																							
242	19	50 mM CaCl2	400.0	90.0	21.0	2	Cooling	243	2023-08-23_RNA_melting_2_VS.csv																							
243	20	50 mM CaCl2	400.0	21.0	90.0	2	Heating	244	2023-08-23_RNA_melting_2_VS.csv																							
244	21	25 mM CaCl2	400.0	90.0	21.0	1	Cooling	245	2023-08-23_RNA_melting_2_VS.csv																							
245	22	25 mM CaCl2	400.0	21.0	90.0	1	Heating	246	2023-08-23_RNA_melting_2_VS.csv																							
246	23	25 mM CaCl2	400.0	90.0	21.0	2	Cooling	247	2023-08-23_RNA_melting_2_VS.csv																							
247	24	25 mM CaCl2	400.0	21.0	90.0	2	Heating	248	2023-08-23_RNA_melting_2_VS.csv																							
248	25	50 mM MgCl2	400.0	90.0	21.0	1	Cooling	249	2023-08-23_RNA_melting_2_VS.csv																							
249	26	50 mM MgCl2	400.0	21.0	90.0	1	Heating	250	2023-08-23_RNA_melting_2_VS.csv																							
250	27	50 mM MgCl2	400.0	90.0	21.0	2	Cooling	251	2023-08-23_RNA_melting_2_VS.csv																							
251	28	50 mM MgCl2	400.0	21.0	90.0	2	Heating	252	2023-08-23_RNA_melting_2_VS.csv																							
252	29	25 mM MgCl2	400.0	90.0	21.0	1	Cooling	253	2023-08-23_RNA_melting_2_VS.csv																							
253	30	25 mM MgCl2	400.0	21.0	90.0	1	Heating	254	2023-08-23_RNA_melting_2_VS.csv																							
254	31	25 mM MgCl2	400.0	90.0	21.0	2	Cooling	255	2023-08-23_RNA_melting_2_VS.csv																							
255	32	25 mM MgCl2	400.0	21.0	90.0	2	Heating	256	2023-08-23_RNA_melting_2_VS.csv																							
256	1	500 mM CaCl2	260.0	90.0	21.0	1	Cooling	257	2023-08-23_RNA_melting_NaCl_VS.csv																							
257	2	500 mM CaCl2	260.0	21.0	90.0	1	Heating	258	2023-08-23_RNA_melting_NaCl_VS.csv																							
258	3	500 mM CaCl2	260.0	90.0	21.0	2	Cooling	259	2023-08-23_RNA_melting_NaCl_VS.csv																							
259	4	500 mM CaCl2	260.0	21.0	90.0	2	Heating	260	2023-08-23_RNA_melting_NaCl_VS.csv																							
260	5	100 mM CaCl2	260.0	90.0	21.0	1	Cooling	261	2023-08-23_RNA_melting_NaCl_VS.csv																							
261	6	100 mM CaCl2	260.0	21.0	90.0	1	Heating	262	2023-08-23_RNA_melting_NaCl_VS.csv																							
262	7	100 mM CaCl2	260.0	90.0	21.0	2	Cooling	263	2023-08-23_RNA_melting_NaCl_VS.csv																							
263	8	100 mM CaCl2	260.0	21.0	90.0	2	Heating	264	2023-08-23_RNA_melting_NaCl_VS.csv																							
264	9	500 mM MgCl2	260.0	90.0	21.0	1	Cooling	265	2023-08-23_RNA_melting_NaCl_VS.csv																							
265	10	500 mM MgCl2	260.0	21.0	90.0	1	Heating	266	2023-08-23_RNA_melting_NaCl_VS.csv																							
266	11	500 mM MgCl2	260.0	90.0	21.0	2	Cooling	267	2023-08-23_RNA_melting_NaCl_VS.csv																							
267	12	500 mM MgCl2	260.0	21.0	90.0	2	Heating	268	2023-08-23_RNA_melting_NaCl_VS.csv																							
268	13	100 mM MgCl2	260.0	90.0	21.0	1	Cooling	269	2023-08-23_RNA_melting_NaCl_VS.csv																							
269	14	100 mM MgCl2	260.0	21.0	90.0	1	Heating	270	2023-08-23_RNA_melting_NaCl_VS.csv																							
270	15	100 mM MgCl2	260.0	90.0	21.0	2	Cooling	271	2023-08-23_RNA_melting_NaCl_VS.csv																							
271	16	100 mM MgCl2	260.0	21.0	90.0	2	Heating	272	2023-08-23_RNA_melting_NaCl_VS.csv																							
272	17	500 mM CaCl2	400.0	90.0	21.0	1	Cooling	273	2023-08-23_RNA_melting_NaCl_VS.csv																							
273	18	500 mM CaCl2	400.0	21.0	90.0	1	Heating	274	2023-08-23_RNA_melting_NaCl_VS.csv																							
274	19	500 mM CaCl2	400.0	90.0	21.0	2	Cooling	275	2023-08-23_RNA_melting_NaCl_VS.csv																							
275	20	500 mM CaCl2	400.0	21.0	90.0	2	Heating	276	2023-08-23_RNA_melting_NaCl_VS.csv																							
276	21	100 mM CaCl2	400.0	90.0	21.0	1	Cooling	277	2023-08-23_RNA_melting_NaCl_VS.csv																							
277	22	100 mM CaCl2	400.0	21.0	90.0	1	Heating	278	2023-08-23_RNA_melting_NaCl_VS.csv																							
278	23	100 mM CaCl2	400.0	90.0	21.0	2	Cooling	279	2023-08-23_RNA_melting_NaCl_VS.csv																							
279	24	100 mM CaCl2	400.0	21.0	90.0	2	Heating	280	2023-08-23_RNA_melting_NaCl_VS.csv																							
280	25	500 mM MgCl2	400.0	90.0	21.0	1	Cooling	281	2023-08-23_RNA_melting_NaCl_VS.csv																							
281	26	500 mM MgCl2	400.0	21.0	90.0	1	Heating	282	2023-08-23_RNA_melting_NaCl_VS.csv																							
282	27	500 mM MgCl2	400.0	90.0	21.0	2	Cooling	283	2023-08-23_RNA_melting_NaCl_VS.csv																							
283	28	500 mM MgCl2	400.0	21.0	90.0	2	Heating	284	2023-08-23_RNA_melting_NaCl_VS.csv																							
284	29	100 mM MgCl2	400.0	90.0	21.0	1	Cooling	285	2023-08-23_RNA_melting_NaCl_VS.csv																							
285	30	100 mM MgCl2	400.0	21.0	90.0	1	Heating	286	2023-08-23_RNA_melting_NaCl_VS.csv																							
286	31	100 mM MgCl2	400.0	90.0	21.0	2	Cooling	287	2023-08-23_RNA_melting_NaCl_VS.csv																							
287	32	100 mM MgCl2	400.0	21.0	90.0	2	Heating	288	2023-08-23_RNA_melting_NaCl_VS.csv																							
288	1	100 mM KCl	260.0	90.0	21.0	1	Cooling	289	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
289	2	100 mM KCl	260.0	21.0	90.0	1	Heating	290	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
290	3	100 mM KCl	260.0	90.0	21.0	2	Cooling	291	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
291	4	100 mM KCl	260.0	21.0	90.0	2	Heating	292	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
292	5	50 mM KCl	260.0	90.0	21.0	1	Cooling	293	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
293	6	50 mM KCl	260.0	21.0	90.0	1	Heating	294	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
294	7	50 mM KCl	260.0	90.0	21.0	2	Cooling	295	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
295	8	50 mM KCl	260.0	21.0	90.0	2	Heating	296	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
296	9	25 mM KCl	260.0	90.0	21.0	1	Cooling	297	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
297	10	25 mM KCl	260.0	21.0	90.0	1	Heating	298	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
298	11	25 mM KCl	260.0	90.0	21.0	2	Cooling	299	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
299	12	25 mM KCl	260.0	21.0	90.0	2	Heating	300	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
300	13	10 mM KCl	260.0	90.0	21.0	1	Cooling	301	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
301	14	10 mM KCl	260.0	21.0	90.0	1	Heating	302	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
302	15	10 mM KCl	260.0	90.0	21.0	2	Cooling	303	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
303	16	10 mM KCl	260.0	21.0	90.0	2	Heating	304	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
304	17	100 mM KCl	400.0	90.0	21.0	1	Cooling	305	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
305	18	100 mM KCl	400.0	21.0	90.0	1	Heating	306	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
306	19	100 mM KCl	400.0	90.0	21.0	2	Cooling	307	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
307	20	100 mM KCl	400.0	21.0	90.0	2	Heating	308	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	100.0	mM																	
308	21	50 mM KCl	400.0	90.0	21.0	1	Cooling	309	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
309	22	50 mM KCl	400.0	21.0	90.0	1	Heating	310	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
310	23	50 mM KCl	400.0	90.0	21.0	2	Cooling	311	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
311	24	50 mM KCl	400.0	21.0	90.0	2	Heating	312	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	50.0	mM																	
312	25	25 mM KCl	400.0	90.0	21.0	1	Cooling	313	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
313	26	25 mM KCl	400.0	21.0	90.0	1	Heating	314	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
314	27	25 mM KCl	400.0	90.0	21.0	2	Cooling	315	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
315	28	25 mM KCl	400.0	21.0	90.0	2	Heating	316	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	25.0	mM																	
316	29	10 mM KCl	400.0	90.0	21.0	1	Cooling	317	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
317	30	10 mM KCl	400.0	21.0	90.0	1	Heating	318	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
318	31	10 mM KCl	400.0	90.0	21.0	2	Cooling	319	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
319	32	10 mM KCl	400.0	21.0	90.0	2	Heating	320	2023-09-19_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	10.0	mM																	
320	1	500 mM KCl	260.0	90.0	21.0	1	Cooling	321	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
321	2	500 mM KCl	260.0	21.0	90.0	1	Heating	322	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
322	3	500 mM KCl	260.0	90.0	21.0	2	Cooling	323	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
323	4	500 mM KCl	260.0	21.0	90.0	2	Heating	324	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
324	5	5 mM KCl	260.0	90.0	21.0	1	Cooling	325	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
325	6	5 mM KCl	260.0	21.0	90.0	1	Heating	326	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
326	7	5 mM KCl	260.0	90.0	21.0	2	Cooling	327	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
327	8	5 mM KCl	260.0	21.0	90.0	2	Heating	328	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
328	9	1 mM KCl	260.0	90.0	21.0	1	Cooling	329	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
329	10	1 mM KCl	260.0	21.0	90.0	1	Heating	330	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
330	11	1 mM KCl	260.0	90.0	21.0	2	Cooling	331	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
331	12	1 mM KCl	260.0	21.0	90.0	2	Heating	332	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
332	13	0.1 mM KCl	260.0	90.0	21.0	1	Cooling	333	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
333	14	0.1 mM KCl	260.0	21.0	90.0	1	Heating	334	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
334	15	0.1 mM KCl	260.0	90.0	21.0	2	Cooling	335	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
335	16	0.1 mM KCl	260.0	21.0	90.0	2	Heating	336	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
336	17	500 mM KCl	400.0	90.0	21.0	1	Cooling	337	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
337	18	500 mM KCl	400.0	21.0	90.0	1	Heating	338	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
338	19	500 mM KCl	400.0	90.0	21.0	2	Cooling	339	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
339	20	500 mM KCl	400.0	21.0	90.0	2	Heating	340	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	500.0	mM																	
340	21	5 mM KCl	400.0	90.0	21.0	1	Cooling	341	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
341	22	5 mM KCl	400.0	21.0	90.0	1	Heating	342	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
342	23	5 mM KCl	400.0	90.0	21.0	2	Cooling	343	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
343	24	5 mM KCl	400.0	21.0	90.0	2	Heating	344	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	5.0	mM																	
344	25	1 mM KCl	400.0	90.0	21.0	1	Cooling	345	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
345	26	1 mM KCl	400.0	21.0	90.0	1	Heating	346	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
346	27	1 mM KCl	400.0	90.0	21.0	2	Cooling	347	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
347	28	1 mM KCl	400.0	21.0	90.0	2	Heating	348	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	1.0	mM																	
348	29	0.1 mM KCl	400.0	90.0	21.0	1	Cooling	349	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
349	30	0.1 mM KCl	400.0	21.0	90.0	1	Heating	350	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
350	31	0.1 mM KCl	400.0	90.0	21.0	2	Cooling	351	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
351	32	0.1 mM KCl	400.0	21.0	90.0	2	Heating	352	2023-09-20_RNA_melting_KCl.csv	RNA	16.0	20.0	K(I)	0.1	mM																	
352	1	4.15 mM KCl	260.0	90.0	21.0	1	Cooling	353	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
353	2	4.15 mM KCl	260.0	21.0	90.0	1	Heating	354	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
354	3	4.15 mM KCl	260.0	90.0	21.0	2	Cooling	355	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
355	4	4.15 mM KCl	260.0	21.0	90.0	2	Heating	356	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
356	5	1.66 mM KCl	260.0	90.0	21.0	1	Cooling	357	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
357	6	1.66 mM KCl	260.0	21.0	90.0	1	Heating	358	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
358	7	1.66 mM KCl	260.0	90.0	21.0	2	Cooling	359	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
359	8	1.66 mM KCl	260.0	21.0	90.0	2	Heating	360	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
360	9	0.8 mM KCl	260.0	90.0	21.0	1	Cooling	361	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
361	10	0.8 mM KCl	260.0	21.0	90.0	1	Heating	362	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
362	11	0.8 mM KCl	260.0	90.0	21.0	2	Cooling	363	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
363	12	0.8 mM KCl	260.0	21.0	90.0	2	Heating	364	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
364	13	0.08 mM KCl	260.0	90.0	21.0	1	Cooling	365	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
365	14	0.08 mM KCl	260.0	21.0	90.0	1	Heating	366	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
366	15	0.08 mM KCl	260.0	90.0	21.0	2	Cooling	367	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
367	16	0.08 mM KCl	260.0	21.0	90.0	2	Heating	368	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
368	17	4.15 mM KCl	400.0	90.0	21.0	1	Cooling	369	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
369	18	4.15 mM KCl	400.0	21.0	90.0	1	Heating	370	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
370	19	4.15 mM KCl	400.0	90.0	21.0	2	Cooling	371	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
371	20	4.15 mM KCl	400.0	21.0	90.0	2	Heating	372	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	4.15	mM																	
372	21	1.66 mM KCl	400.0	90.0	21.0	1	Cooling	373	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
373	22	1.66 mM KCl	400.0	21.0	90.0	1	Heating	374	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
374	23	1.66 mM KCl	400.0	90.0	21.0	2	Cooling	375	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
375	24	1.66 mM KCl	400.0	21.0	90.0	2	Heating	376	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	1.66	mM																	
376	25	0.8 mM KCl	400.0	90.0	21.0	1	Cooling	377	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
377	26	0.8 mM KCl	400.0	21.0	90.0	1	Heating	378	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
378	27	0.8 mM KCl	400.0	90.0	21.0	2	Cooling	379	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
379	28	0.8 mM KCl	400.0	21.0	90.0	2	Heating	380	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.8	mM																	
380	29	0.08 mM KCl	400.0	90.0	21.0	1	Cooling	381	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
381	30	0.08 mM KCl	400.0	21.0	90.0	1	Heating	382	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
382	31	0.08 mM KCl	400.0	90.0	21.0	2	Cooling	383	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
383	32	0.08 mM KCl	400.0	21.0	90.0	2	Heating	384	2023-09-21_RNA_melting_HEPES_KCl.csv	RNA	0.0	0.0	K(I)	0.08	mM																	
384	1	516 mM NaCl	260.0	90.0	21.0	1	Cooling	385	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	516.0	mM																	
385	2	516 mM NaCl	260.0	21.0	90.0	1	Heating	386	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	516.0	mM																	
386	3	516 mM NaCl	260.0	90.0	21.0	2	Cooling	387	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	516.0	mM																	
387	4	516 mM NaCl	260.0	21.0	90.0	2	Heating	388	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	516.0	mM																	
388	5	116 mM NaCl	260.0	90.0	21.0	1	Cooling	389	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	116.0	mM																	
389	6	116 mM NaCl	260.0	21.0	90.0	1	Heating	390	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	116.0	mM																	
390	7	116 mM NaCl	260.0	90.0	21.0	2	Cooling	391	2023-09-21_RNA_melting_NaCl.csv	RNA	16.0	20.0	Na(I)	116.0	mM																	
